product_id,product_title,rating,total_reviews,price,top_reviews
B00DL7NEFC,Importer520 Micro USB Host OTG Cable - Micro USB B/Male to USB2.0 A/Female OTG Host Cable for Samsung Epic 4G Touch D710 Galaxy S2/ SII I9100 I777,2.0,1,,No detailed reviews available.
B0B3LTBB8B,"Yonds Queen for iPhone 13 Pro Max Clear Cute Case, Cool Cartoon Astronaut Space Planet Moon Design Stylish TPU Bumper Shockproof Protector Transparent Case(iPhone 13 Pro Max, Blue Moons)",4.5,172,9.99,No detailed reviews available.
B0772PVQ74,"Wouier Case Compatible with iPhone X XS MAX Luxury Electroplating Premium 3 in 1 Shockproof Back Cover (X, Rose Gold)",3.1,18,,No detailed reviews available.
B01M18XCYT,"LDFAS Apple Watch Case,Ultra Thin All-around Protective PC Hard Apple Watch Screen Protector for Apple Watch 42mm",3.6,3,,No detailed reviews available.
B06XGY6FRT,"LG Stylo 3 Case, LG Stylo 3 Plus Case For Girls, Tekcoo [Tmajor] Shock Absorbing Rubber Plastic [Turqoise] Scratch Resistant Defender Bumper Rugged Slim Hard Cover Cases For LG Stylus 3/Stylus 3 Plus",4.5,103,,No detailed reviews available.
B09N44927L,"Carbon Fiber Pattern Slim Case Compatible with Samsung Galaxy S20, Shockproof 10ft. Drop Tested, Wireless Charging Compatible - Black",4.5,6654,9.99,"5.0⭐ Vibrant color, nice silicone edges to hold onto.... || 5.0⭐ Bought as a socking stuffer gift. Seems to work great, havent heard any complaints about it.... || 5.0⭐ I have this case installed on my Samsung S9+. I usually never buy cases for my phones, but figured phones are too expensive now to leave unprotected, it's worth it even with one bad phone drop/fall.<b... || 5.0⭐ Fantastic case, thin, and really protects the phone. can't even tell you have a case on the phone..."
B072F2FSY5,IQ Shield Matte Screen Protector Compatible with HTC U11 (HTC U 11) Anti-Glare Anti-Bubble Film,4.4,59,9.95,No detailed reviews available.
B078YVN46K,"USB Wall Charger Quick Charge 3.0, Dual Port, QC 2.4A Qualcomm, Fast for Travel (3-Pack)",3.0,11,,No detailed reviews available.
B01N3676BD,"BoxWave Charger Compatible with PBS Kids Playtime Pad (Charger by BoxWave) - Wall Charger Direct, Wall Plug Charger for PBS Kids Playtime Pad",3.8,52,15.95,No detailed reviews available.
B07B8K6B95,"iPhone 8 Plus Clear Case,iPhone 7 Plus Clear Case,WLKSUS Clear Slim Premium Hybrid TPU Anti-Scratch Bumper Cover for Apple iPhone 8 Plus / 7 Plus, Gold",4.1,39,,No detailed reviews available.
B089742DWT,"Punkcase iPhone 11 Pro Waterproof Case [Aqua Series] [Slim Fit] [IP68 Certified] [Shockproof] [Dirtproof] [Snowproof] Armor Cover for iPhone 11 Pro (2019) (5.8"") [Black]",4.0,39,39.98,No detailed reviews available.
B0753CM3Q3,"iPhone 6 Case, iPhone 6s Case,Wlksam Stylish Ultra Slim Anti-Scratch Shockproof Hard Heat Radition Lightweight Case for iPhone 6/6s Apple Cover Accessiess (4.7 inch) (Gold)",3.5,9,,No detailed reviews available.
B07ZKC23NG,"Compatible with Galaxy A10E Case, Galaxy A20E Case,Skyfree Shockproof Heavy Duty Protection Hard PC & Soft TPU Hybrid Dual Layer Protective Phone Case for Samsung Galaxy A10E/A20E,Cute Panda Face",3.7,19,,No detailed reviews available.
B08GG6YZPR,"VATI 4-Pack Sport Bands Compatible with Watch Band 38MM 40MM S/M, Soft Silicone Watchbands Replacement Strap Compatible for Watch Series SE/6/5/4/3/2/1 (Black/White/Pink Sand/Gray)",4.5,39,,No detailed reviews available.
B08R6SBG33,BAZO [2+2 Pack] Screen Protector for Samsung galaxy S21 Plus 5G 6.7'' + Camera Lens Protector and Easy Installation Frame - Shatter Proof - HD Clarity- Tempered Glass -【Fingerprint Reader Surpport】,4.1,699,,No detailed reviews available.
B09LYXJNNV,"LovRug Band with Case Compatible with Apple Watch 38mm 40mm 42mm 44mm iWatch Series 6/5/4/3/2/1 / SE, Slim Jewelry Bling Diamond Rhinestone Replacement Metal Strap for women",4.4,228,19.99,No detailed reviews available.
B08X6D6HST,"Moto G7 Case,Moto G7 Plus case with Flowers, Sidande Shockproof Clear Floral Soft Flexible TPU Slim Phone Case Cover DO NOT FIT for Motorola Moto G7 Power Or Moto G7 Play (Cactus)",4.2,95,10.98,No detailed reviews available.
B00W702JDC,"iPhone 6 Case, Lumsing™ Hybrid High Impact Double Layer Armor Defender Case Protective Cover for Apple iPhone 6 (4.7 inch Screen) with Screen Protector (X-Rose Gold)",3.0,12,,No detailed reviews available.
B01LXIBQ00,"iPhone 7 Plus Case, iPhone 7 Plus Liquid Glitter Case,PHEZEN Creative Design Flowing Liquid Floating Luxury Bling Glitter Sparkle Hard Case for 5.5 Plus inch iPhone 7 Plus - Gold Diamonds",4.2,3,,No detailed reviews available.
B09NQ35M4H,StylusHome Replacement Rubber Tips 12 Pcs for StylusHome Stylus for Kid Tips Universal Stylus Pens Only,4.3,7,7.99,No detailed reviews available.
B01LZKE8OI,Spectre Shield Screen Protector for Alcatel Tru/Stellar Screen Protector Case Friendly Accessories Flexible Full Coverage Clear TPU Film,3.5,2,5.95,No detailed reviews available.
